# Created by Octave 3.2.4, Tue Mar 05 18:25:47 2013 PST <cct@lab-29>
# name: B
# type: matrix
# rows: 185
# columns: 5
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
 0 1 2 3 4
